"GeneName","log2FoldChange","pvalue","padj"
"AP1M2",1.25132400553984,1.11703140324767e-08,6.75052321771752e-08
"AP1S1",1.01349767938841,1.24563827012357e-16,2.72891041553945e-15
"APBB1IP",-1.22876999656554,4.70965712568166e-13,5.80124691603096e-12
"APCDD1",-2.06539934832705,1.31075747328956e-24,9.02048095929777e-23
"APCDD1L",-1.76656984317754,6.13676459521902e-08,3.24865403348913e-07
"APELA",1.00880218270789,0.00620607458815889,0.0124330957417456
"APLP1",2.44318977689504,5.54160266899485e-19,1.69187524446473e-17
"APOA1",1.60087107994773,4.33583646067475e-07,1.97920878957116e-06
"APOB",-4.97607218323693,1.03209844519706e-32,2.17818642978588e-30
"APOBEC3A",1.10554035376042,0.000498527819281843,0.00126794823238341
"APOBEC3B",1.51286827935485,1.83973402244696e-07,8.98994289229679e-07
"APOBEC4",2.54310267750147,2.39213612945911e-05,7.85686212051639e-05
"APOBR",1.21490926015791,1.56632540494172e-07,7.75365773819729e-07
"APOD",-2.34217378566705,9.32836388409296e-14,1.27929923187337e-12
"APOF",1.37498862005281,0.000117361724297972,0.000338162711061238
"APOH",-1.87215515916726,0.0132412903697802,0.024676714019192
"APOL5",-1.1703713241482,1.94642411332086e-05,6.50543368087567e-05
"APOL6",-1.21718335683602,4.37208413663933e-11,3.96577679519233e-10
"APOLD1",-1.87663784776803,6.26599217723179e-16,1.20097129580566e-14
"AQP1",-1.84683141453014,1.26398145272857e-22,6.43647820727251e-21
"AQP4",-1.84871043425599,1.05452695011293e-10,9.04274712886904e-10
"AQP7",-4.67970091860632,1.07879500102599e-32,2.25171782961403e-30
"AQP7B",-4.62414925825442,3.58111928723079e-23,1.97731917853667e-21
"ARAP3",-1.11153614992516,1.44937057782183e-16,3.13189360126823e-15
"ARC",-1.47457263471737,4.86522083796534e-07,2.20128643631047e-06
"ARFGAP1",1.00454580675809,1.89594618680204e-11,1.82985781870518e-10
"ARHGAP10",-1.24906496141049,7.8287185822574e-14,1.084080615876e-12
"ARHGAP11A",1.75119634348081,8.43358282194543e-19,2.52661627949576e-17
"ARHGAP20",-2.67128385108217,1.47726327810832e-34,4.12634392711608e-32
"ARHGAP24",-1.05285364344319,2.54875389080066e-11,2.40970788461263e-10
"ARHGAP26",-1.27879043247936,1.33582956056505e-17,3.38303288978301e-16
"ARHGAP31",-1.12402712167923,1.03887601626021e-14,1.68973803101825e-13
"ARHGAP36",-2.07171878239189,0.000983524807598628,0.00234276993581349
"ARHGAP39",1.62858485638878,8.81655532977319e-23,4.63882692337152e-21
"ARHGEF15",-1.72561083487311,4.18664459381131e-24,2.75159610432014e-22
"ARHGEF16",1.04545406796084,2.55091924867048e-09,1.71938112878805e-08
"ARHGEF28",-1.06666119058635,4.45127269871544e-13,5.50797873872319e-12
"ARHGEF39",1.40591537736359,6.76927457481206e-16,1.28833267809599e-14
"ARHGEF40",-1.0299011165098,5.08558611619192e-15,8.67106128285002e-14
"ARHGEF6",-1.07950674706876,5.54384876836041e-09,3.53118254548081e-08
"ARID5B",-1.22811610601379,5.84616978704384e-17,1.34596544163771e-15
"ARL4A",-1.68208934572549,8.63849229151737e-18,2.23846551957819e-16
"ARL9",1.34251573489618,2.22854578747708e-06,8.93016849943875e-06
"ARMC3",2.07427979975403,4.69667018850271e-09,3.03224179335216e-08
"ARMS2",-1.05812804288449,0.000710391221493863,0.00174397968993853
"ARMT1",1.50592097816612,1.06991123797231e-11,1.07239546459346e-10
"ARNT2",1.05323959507795,6.28951488992224e-05,0.000190744125529591
"ARRDC3",-1.12150657387017,2.04104104229394e-12,2.27109159679737e-11
